Age,Gender,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Interest,Personality
30.0,Female,0,3.82631,6.8388501419442935,0.18192,7.442540592105598,Arts,ESFJ
23.0,Female,0,0.03394,5.08692754494109,3.68783,4.917765722548282,Others,INFP
23.0,Female,0,6.69746,6.42448117489221,1.97197,7.42855876193037,Arts,ESFJ
24.0,Male,0,7.01378,3.379199975555505,3.67597,3.4429917038994478,Arts,ENFP
21.0,Male,0,0.51834,4.250710532275674,8.77713,5.971277990890505,Sports,INTJ
34.0,Male,0,1.23727,6.209174932920217,9.80111,6.218396974928141,Others,ISTJ
25.0,Male,0,0.41882,6.997068990448382,1.52657,4.591009866288016,Sports,ISFP
25.0,Female,0,6.465,6.792770550781133,1.42658,6.566238941248469,Unknown,ESFJ
31.0,Female,1,2.74982,6.179555682006134,3.67152,6.359580048827072,Unknown,ISFP
28.0,Female,0,4.39971,3.9156028860417997,0.27381,5.903827785310597,Unknown,INFP
21.0,Female,0,1.5701,3.721510445934502,0.34386,6.0294467405850005,Technology,INFJ
21.0,Female,1,0.08104,7.284915344197987,3.59145,3.327044518174929,Arts,INFP
28.0,Male,0,0.25266,7.117045609394372,6.94907,6.267960915605781,Sports,ISTJ
27.0,Male,0,2.60443,6.675293808618468,6.95374,6.948383037226041,Unknown,ISTJ
31.0,Male,0,8.21621,7.182191443999955,5.78823,5.665423961631561,Technology,ESFP
21.0,Female,0,2.07877,5.218933529593138,6.85174,5.06406047469828,Sports,INTJ
28.0,Female,0,0.14572,5.390096159590687,6.63908,6.687858389536551,Arts,INTJ
26.0,Male,0,3.13469,5.419127738192943,1.27418,2.260130349939038,Unknown,INFP
22.0,Male,1,1.74315,3.7839399596536687,0.60551,7.153433128895376,Unknown,INFP
28.0,Female,0,4.12457,5.1075438185150634,8.29161,6.574833968849951,Technology,INTJ
24.0,Female,0,2.09509,6.2943068280732,2.58922,6.430464808332895,Unknown,ISFJ
33.0,Female,1,1.24184,7.283005425406823,7.64623,6.2181446995871426,Others,ISTP
23.0,Female,0,4.95558,6.332276887545427,8.29982,6.904069252387946,Others,ESTJ
32.0,Female,1,1.36041,4.36784282871979,1.80451,2.3894947242656546,Unknown,INFP
24.0,Male,1,7.43973,6.458664043547524,5.23037,4.285482592881926,Unknown,ESFP
31.0,Male,0,7.03279,6.566863698409379,7.67226,4.930128462348739,Unknown,ESTP
22.0,Female,0,8.84891,3.649608261757723,8.39875,5.254310497486357,Unknown,ENTP
27.0,Male,0,7.34098,7.087762695039464,9.93437,6.446604787031845,Unknown,ESTJ
20.0,Male,0,8.84473,4.434578834030276,2.29269,5.702400136624452,Others,ENFP
24.0,Female,0,2.93422,6.472754728183419,0.3387,7.495610963929774,Unknown,ESFJ
29.0,Female,1,7.84371,6.152156207480247,0.89516,3.4827036618493676,Technology,ESFP
29.0,Female,0,9.46124,6.113207343439553,4.48858,6.3407016524206075,Others,ESFJ
28.0,Male,1,2.31132,5.7073274042986935,3.45106,5.718968508216814,Others,INFP
29.0,Male,0,9.95518,5.1450285872905015,0.00782,1.9156634941494461,Sports,ENFP
34.0,Female,1,0.48194,6.389533067347896,9.61114,2.984572632592444,Others,ISTP
24.0,Male,1,4.27848,6.516681774347294,7.98671,4.6601851794219655,Arts,ISTP
27.0,Male,1,3.67219,6.068606212073529,0.52808,3.5483639197288603,Others,ENFP
24.0,Female,0,8.33821,5.853701267230715,8.57213,6.9673508484734015,Others,ENTJ
36.0,Female,0,2.87,4.208808050199937,1.39664,4.306250883062996,Others,INFP
29.0,Male,0,1.59613,6.073763949491805,0.47731,6.53045049805248,Others,INFJ
27.0,Male,0,6.21505,6.137824523259857,1.27413,3.1206748758333704,Unknown,ESFP
32.0,Female,0,2.16092,3.6949111200313114,7.73209,4.006511407399518,Technology,INTP
20.0,Female,0,9.61759,4.664094426279733,5.32641,4.666870127993093,Sports,ENFP
30.0,Female,0,3.31617,6.1669765902609335,2.19703,5.136576128619772,Sports,ISFJ
24.0,Male,0,1.32508,5.785545149477109,8.94263,5.937669093742445,Sports,INTJ
26.0,Male,0,9.42664,6.34417329749206,3.62776,6.401964637094058,Technology,ESFJ
41.0,Female,1,2.72394,6.546948302511577,6.97384,1.4677394548112224,Arts,ISTP
28.0,Female,0,1.96955,3.7895246489059478,3.93671,6.470257051731579,Sports,INFJ
29.0,Female,0,2.17311,7.265703695747469,5.34311,1.2727681698855466,Others,ISFP
22.0,Male,0,2.08334,6.351842813096973,6.96499,6.062715376403535,Unknown,INTJ
26.0,Male,0,4.06249,6.931876568917694,9.39207,5.595066894718611,Sports,ISTJ
27.0,Male,0,7.92811,6.4130944764140985,8.47101,3.6158787186153827,Arts,ESTP
27.0,Male,0,4.15037,6.1783047515358716,5.6092,3.598736689413978,Arts,ESTP
25.0,Male,0,1.34839,6.786648696553551,8.94313,8.116667074086692,Arts,ISTJ
21.0,Female,0,1.01453,6.257478707108786,5.63206,6.335345740162875,Unknown,INTJ
35.0,Female,0,8.37643,5.248117840500599,2.40756,0.6354014118657094,Unknown,ENFP
30.0,Female,0,0.3063,6.1179333625047745,3.4304,7.666399471423219,Unknown,ISFJ
29.0,Male,0,7.02059,5.613968625691005,3.93513,6.18583848132141,Others,ENFJ
23.0,Male,1,7.70007,6.965214086661425,3.31106,6.974176898066011,Unknown,ESFP
32.0,Female,0,4.91952,4.4614270873704,9.81772,6.9711232725818615,Arts,ENTJ
27.0,Male,0,8.45947,6.499580293023984,8.7322,6.703065118078448,Technology,ESTJ
19.0,Male,0,6.85211,5.948523131899604,1.11213,6.058186517124611,Arts,ENFJ
28.0,Male,0,6.86889,6.902751355574723,6.46665,6.073934049560859,Unknown,ESFJ
27.0,Female,0,2.91379,6.781863032056439,2.72544,6.595188631651293,Others,ISFJ
38.0,Female,0,2.52432,6.378945976388701,5.96302,5.1502327968316,Unknown,ISTP
39.0,Male,1,0.67977,5.425062970117977,4.34549,5.711193626252223,Unknown,INFP
32.0,Male,0,7.21515,6.560580216009003,3.09305,6.244097170992882,Unknown,ESFJ
30.0,Male,0,8.23301,4.423068314042241,5.14207,4.4796001638847365,Unknown,ENFP
21.0,Female,0,0.19625,5.620894979125332,8.36486,6.9314909478823035,Arts,INTJ
37.0,Male,0,4.70054,6.532540292784811,8.5823,6.291604294644839,Unknown,ISTJ
32.0,Female,0,5.92122,6.618311068300404,5.08065,6.734079915800842,Others,ESFJ
23.0,Female,0,2.74738,4.766039615081126,2.29969,6.373143815098016,Unknown,INFJ
31.0,Male,0,1.15942,6.218161867750831,5.92687,5.497659313994982,Unknown,ISFP
23.0,Female,0,2.15454,2.6105663490092144,2.60756,7.40801118738918,Unknown,INFJ
24.0,Female,0,3.55903,6.383658762349072,9.15162,6.8257739705031115,Arts,ISTJ
34.0,Male,1,5.16486,8.187607929914131,8.44889,7.164164415855545,Others,ISTP
27.0,Male,0,2.11264,7.669233321734018,9.60017,1.2385495943310367,Others,ISTP
29.0,Male,0,5.16451,6.821438570426292,2.97256,6.077966209262752,Technology,ESFJ
24.0,Female,0,0.65635,5.907827847388964,1.98582,2.7919323293892204,Unknown,INFP
19.0,Female,0,2.58368,4.373825934668333,0.998,5.239673435730593,Sports,INFJ
25.0,Male,1,4.75981,6.896058704578878,4.21286,4.245033187210092,Technology,ESFP
27.0,Male,0,3.02666,6.540446143516538,7.83388,6.015351609332336,Technology,ISTJ
30.0,Male,0,1.85557,6.34403695029276,9.02147,6.564052048311328,Arts,ISTJ
31.0,Female,0,2.0075,6.103104526935774,9.72504,4.69893894690647,Unknown,ISTP
33.0,Female,0,6.01427,6.943591489998326,5.27183,6.912153450494738,Technology,ESFJ
28.0,Male,0,1.10086,6.542128429325569,2.14304,5.920068766327739,Sports,ISFJ
25.0,Male,0,7.98309,4.950745277453476,7.54617,2.192110766150509,Unknown,ENTP
26.0,Male,1,2.21428,5.0151273816520465,3.49456,3.215145419890952,Others,INFP
25.0,Male,0,7.28864,7.166621690098609,1.0341,6.528224722670429,Others,ESFJ
30.0,Male,0,3.65792,6.121444929787521,7.66045,4.340860928975841,Others,ISTP
30.0,Male,1,9.2355,8.475709149118154,5.02455,4.175379858051244,Unknown,ESFP
32.0,Male,0,9.42229,3.7578817237033757,1.89323,7.29488657953302,Technology,ENFJ
19.0,Male,1,9.28937,5.625144012106134,7.44159,2.6031284697159682,Technology,ENTP
33.0,Female,0,4.03426,7.632968123018369,9.98437,5.23522250764242,Sports,ESTJ
21.0,Male,1,2.15962,5.802184930344451,2.57656,4.772424267438537,Unknown,INFP
24.0,Female,1,4.91049,6.757289012333477,6.9842,2.123921002539195,Sports,ESTP
25.0,Female,1,9.75755,6.476416600949775,8.58078,5.569519171510739,Unknown,ESTP
26.0,Female,0,4.75912,7.021254229511134,5.06524,6.006579293404014,Unknown,ESFJ
22.0,Female,1,9.1486,6.309654464688371,7.26503,3.7997552964896064,Unknown,ESTP
26.0,Female,0,9.30433,3.904408482276922,3.85104,6.269108133262905,Technology,ENFJ
28.0,Female,0,2.98993,7.1507897935898095,6.48411,1.0920814655349362,Unknown,ISTP
21.0,Male,0,0.24719,5.893470052531907,9.59251,2.8888192947438003,Arts,INTP
25.0,Male,0,1.06531,7.4736066208533485,2.4582,3.1903997388053833,Sports,ISFP
32.0,Male,1,1.10074,6.22722519537186,3.12392,3.1340713254267527,Technology,ISFP
40.0,Female,0,8.96424,4.730236465716892,1.20926,5.879264526545148,Sports,ENFJ
22.0,Female,0,3.76062,3.9999458105317207,1.99774,6.434698424039188,Technology,ENFJ
26.0,Female,0,7.9678,6.720967510355929,1.76654,5.304339254999071,Sports,ESFJ
38.0,Male,0,8.83472,4.024434056463215,8.39082,6.428012073461873,Unknown,ENTJ
23.0,Female,0,1.22249,3.131608039060433,9.87078,3.8461345052944393,Sports,INTP
36.0,Female,1,7.1643,5.683963728194658,9.72722,3.211755908184606,Technology,ENTP
24.0,Male,0,7.11506,7.074976792722808,6.36873,4.982914217954795,Technology,ESFP
27.0,Female,0,2.03677,2.3901352041046087,2.98533,5.238814117392869,Sports,INFJ
22.0,Male,0,0.01462,4.416346040003347,8.1983,6.083781837577293,Sports,INTJ
33.0,Female,0,7.7433,7.086778689162953,6.53077,4.829013633585353,Unknown,ESTP
27.0,Male,0,3.26649,6.354698830237951,3.32895,4.903398507124439,Arts,ISFP
27.0,Female,0,6.8469,6.5028736312735305,6.68549,5.883845135830437,Sports,ESTJ
27.0,Male,0,1.4619,6.325033786494828,9.48022,6.947941946126191,Unknown,ISTJ
20.0,Female,0,3.95402,2.125051641745784,5.58874,5.44369444971707,Sports,ENTJ
31.0,Female,0,8.84349,5.3674127792282995,6.19366,4.204638142686333,Others,ENTP
25.0,Male,0,7.93322,6.17443074418182,7.21895,6.354111560416742,Others,ESTJ
26.0,Male,0,1.64867,6.926917682489604,4.4481,7.481830836710036,Unknown,ISFJ
31.0,Male,0,1.1307,7.015069262938277,9.64977,6.091018172619415,Arts,ISTJ
23.0,Female,0,5.89543,6.246859999988707,6.45875,7.606612965084707,Arts,ESTJ
23.0,Male,0,5.88802,7.652350505301885,8.75555,6.188041416778385,Unknown,ESTJ
25.0,Male,0,6.64465,6.219013064681738,3.36279,6.848067332940737,Unknown,ESFJ
25.0,Female,0,8.18904,6.119191282269202,2.18851,6.464025654792398,Sports,ESFJ
34.0,Female,0,6.65063,5.296845664081396,4.20038,4.430139616473319,Unknown,ENFP
28.0,Female,0,6.58519,6.879968474327318,1.18138,7.7320391211601365,Unknown,ESFJ
24.0,Male,0,3.3556,7.411048788612188,2.34955,6.073088304897375,Unknown,ISFJ
28.0,Female,0,6.28973,6.9753765608482325,1.06355,6.268518946914355,Arts,ESFJ
23.0,Female,1,8.76887,3.1977414424460697,5.22818,2.7681637368746532,Others,ENFP
29.0,Female,0,3.24692,6.124798559731372,8.87026,6.220107084134811,Others,ESTJ
22.0,Female,1,2.89709,5.9802227333767215,5.37174,5.900718713813277,Arts,INTP
29.0,Female,1,9.96971,6.3793982620316045,0.28127,5.703368961283904,Technology,ESFP
35.0,Female,1,2.88682,6.113709141045137,8.07534,3.6486736150432932,Unknown,ISTP
27.0,Male,1,0.68642,5.474222729742152,8.03479,6.198320896972344,Others,INTP
26.0,Male,0,3.22727,6.4704653742141955,7.36448,6.827541873312743,Unknown,ISTJ
25.0,Female,0,4.73115,4.076240739748843,1.3287,6.312402417952333,Unknown,ENFJ
34.0,Male,0,8.11649,2.8245780352843197,1.01524,6.047270516818749,Unknown,ENFJ
32.0,Female,0,6.24896,6.126281611836889,1.9878,6.0480889007749505,Unknown,ESFJ
30.0,Female,0,0.81681,6.270625812422092,8.33925,4.715520516414801,Unknown,ISTP
28.0,Male,1,3.70724,5.56450243258548,2.68551,3.7422797095608455,Unknown,INFP
25.0,Male,0,7.91951,6.257508928957651,9.64818,7.371340727571305,Unknown,ESTJ
28.0,Male,1,1.32308,6.304602154659649,8.94751,4.196798210115186,Others,ISTP
37.0,Female,0,4.27862,6.337139885014867,2.17312,6.279920509310748,Unknown,ISFJ
23.0,Female,0,8.40605,2.7286076827356895,0.7788,5.529398074287039,Technology,ENFP
30.0,Female,0,3.38693,6.393024775585745,1.31916,4.467894348396223,Unknown,ESFP
24.0,Male,1,3.82171,6.5651863887153485,1.31183,5.622817914566101,Unknown,ISFP
29.0,Male,0,0.38731,4.389344983428922,1.20066,6.219931513939444,Sports,INFJ
21.0,Male,0,8.34346,5.795107686377124,7.11001,5.266181742095322,Sports,ENTJ
27.0,Male,0,4.69138,6.259620160322856,5.72433,5.071622616362666,Others,ESFP
21.0,Female,0,6.3475,2.3079617132724985,6.62136,3.8446436939439153,Technology,ENTP
35.0,Male,0,2.04194,7.614546819986463,0.36823,7.124494578723461,Technology,ISFJ
29.0,Male,1,3.93265,6.203560219723982,9.95964,2.865691208910345,Others,ISTP
26.0,Male,0,1.46213,4.0376582472058455,4.49105,6.175263276507997,Others,INFJ
27.0,Female,1,0.52496,4.22918393412911,6.14274,6.852643453802009,Arts,INTP
30.0,Male,0,7.91631,4.294710979892594,7.3643,7.070209477256096,Others,ENTJ
26.0,Male,1,0.15344,5.598901934968338,6.6625,5.350746264615067,Sports,INTP
26.0,Male,0,0.84761,6.000138858096734,1.96222,5.8307481462333834,Others,INFP
26.0,Male,1,2.18559,3.3430349847734746,8.44164,2.315929873471578,Others,INTP
27.0,Male,0,6.58417,4.025647583446769,7.84064,4.668737046657994,Arts,ENTP
22.0,Male,0,3.76127,3.238854755623309,9.48575,6.146454815793302,Arts,INTJ
23.0,Male,0,8.62059,6.026249671525924,9.67799,3.790777220028885,Others,ENTP
37.0,Male,0,5.42602,4.267024886952942,7.25648,7.266524954236284,Unknown,INTJ
26.0,Female,0,2.02416,6.675376309506646,0.10546,2.9126803547923075,Unknown,ISFP
27.0,Male,1,9.12654,4.32543328452936,4.51215,2.923909162514652,Unknown,ENFP
27.0,Male,0,1.4669,4.446392783043679,4.41024,5.120200342893338,Technology,INFP
27.0,Female,0,6.70079,6.052084973230813,0.90689,6.007346861509511,Others,ENFJ
25.0,Male,0,4.61771,3.993928769151137,0.89967,4.403338315938401,Unknown,ENFP
23.0,Male,0,5.78899,8.052481788839561,7.88552,5.232443325359002,Others,ESTP
24.0,Male,0,2.72889,4.360169830381194,4.39358,5.069314449353648,Technology,INFP
25.0,Male,0,6.67045,4.848092231100751,9.19419,5.412714582443403,Technology,ENTP
29.0,Female,0,6.01083,4.1164780086373876,0.14597,5.800805298180388,Unknown,ENFP
28.0,Male,0,8.69608,6.476783289057203,8.803,6.868467133547053,Others,ESTJ
33.0,Female,0,9.3009,2.3976933671105485,2.63439,7.771779819910005,Unknown,ENFJ
28.0,Female,0,2.90433,7.896891518528533,0.95383,6.260466612078664,Unknown,ESFJ
28.0,Male,0,9.94734,6.13853036196604,8.13075,4.049213316388704,Sports,ESTP
26.0,Male,1,8.0933,4.532062585104612,8.14412,4.807690844352013,Unknown,ENTP
29.0,Male,0,0.17617,7.119573623023001,4.47774,5.849622341732387,Technology,ISFP
25.0,Male,0,1.48385,3.9717396147288975,1.62722,6.1437924314071095,Technology,INFJ
24.0,Female,0,2.84671,3.9520843007049358,7.50182,6.108737531943369,Unknown,INTJ
26.0,Female,1,2.58475,7.2432027040792955,1.27089,6.4998386691426076,Sports,ISFP
24.0,Female,0,5.08853,7.563423175824519,5.88274,3.5728349770282435,Technology,ESTP
19.0,Male,0,1.81161,5.411358638567956,6.64753,5.037131693389891,Sports,INTJ
22.0,Male,1,6.40519,3.153712075845723,7.25405,5.242331742224359,Unknown,ENTP
26.0,Female,0,3.95895,6.170657503315561,9.47047,7.064192824289278,Unknown,ISTJ
29.0,Male,1,7.95625,6.612545685113787,2.01645,1.5539808975321137,Unknown,ESFP
31.0,Male,0,7.10069,4.750902915214612,9.26769,5.173034179715108,Arts,ENTP
21.0,Male,0,8.58353,3.6913418398569475,9.99265,6.549324416164844,Sports,ENTJ
29.0,Female,1,4.60628,6.883531948399009,6.49975,5.165977963497647,Technology,ESTP
27.0,Male,1,5.1459,6.257922707295124,1.99359,5.089300226694597,Arts,ISFP
30.0,Male,0,4.24382,6.666396316424267,5.16114,6.044195358827685,Others,ISFJ
35.0,Female,0,0.47187,6.265210907475147,9.42399,7.2335945071293315,Arts,ISTJ
21.0,Male,0,0.32796,5.022379890846468,6.86796,5.241199690916227,Unknown,INTP
29.0,Male,0,7.39227,6.587711996337445,9.69927,4.405092018929629,Technology,ESTP
30.0,Male,1,1.7595,6.365704647841932,1.96762,5.6156220488652355,Unknown,ISFP
23.0,Female,1,9.36933,4.0057146483677,2.61205,4.922243893008647,Arts,ENFP
30.0,Female,0,3.39292,6.112467477111441,0.18945,6.406563118011542,Arts,ISFJ
28.0,Male,0,6.09255,6.31212906860906,9.65264,5.191074754393166,Unknown,ESTP
33.0,Female,1,6.27159,6.545274098734534,3.13806,3.393903132160232,Others,ESFP
32.0,Female,0,5.62521,5.439554983172762,8.68874,6.462817494503436,Technology,ENTJ
27.0,Male,0,6.74783,6.581112666274391,3.64324,7.306934305276457,Unknown,ESFJ
21.0,Male,0,5.89672,6.2144051968185225,8.77065,4.958256883941671,Unknown,ENTP
28.0,Female,1,1.3147,6.267824266080754,5.90504,6.6019700233287955,Unknown,ISTP
33.0,Male,0,9.10589,7.526513219831557,6.62607,6.464975167534552,Others,ESTJ
31.0,Female,0,1.64529,6.046440990103676,7.58235,6.393596403145062,Unknown,INTJ
32.0,Female,0,6.11016,7.624174404755002,9.56299,2.48402300131276,Unknown,ESTP
32.0,Female,1,8.99341,3.457364131564022,9.0471,5.850799453280237,Unknown,ENTP
29.0,Female,1,1.21233,6.841461726918798,1.31912,2.8266126900109176,Sports,ISFP
30.0,Male,0,1.9195,6.393774057129239,0.9099,3.6111221550385615,Unknown,ISFP
27.0,Female,0,6.3288,7.092955761136179,9.45861,6.294008733431675,Arts,ESTJ
23.0,Female,1,1.9134,5.841932097068301,8.48688,4.347453976554317,Sports,INTP
38.0,Female,1,1.18546,6.168951952876421,7.74117,5.829801309796359,Unknown,ISTP
21.0,Male,1,5.45721,4.3622717150945185,0.48721,4.964245998592041,Arts,ENFP
27.0,Female,1,1.93189,6.138959467156673,2.47415,3.0752023177055197,Sports,ISFP
22.0,Female,0,3.20621,1.2104915587093492,3.34415,6.821160064978135,Unknown,INFJ
23.0,Female,0,0.72679,4.743874034337186,2.3955,4.374971586034491,Arts,INFP
31.0,Female,0,4.26692,6.454796436170774,2.18922,6.076949924943632,Unknown,ISFJ
24.0,Male,0,1.39643,6.429158783726503,5.71866,5.298717970566591,Unknown,ISFP
28.0,Male,0,9.58311,3.9472607779229643,8.87722,7.28375332001654,Technology,ENTJ
26.0,Female,0,1.318,6.517373240588613,0.01186,5.365612750440061,Arts,ISFP
32.0,Male,0,4.55774,5.2491851983791395,4.7048,2.474980860109981,Technology,INFP
22.0,Male,1,4.18171,6.815243711012963,5.76266,0.0,Others,ISFP
22.0,Female,0,4.89136,6.177230202997623,3.34292,4.822658209498735,Sports,ENFP
25.0,Female,0,1.244,7.571607778895133,1.96154,5.5701678872911575,Unknown,ISFP
29.0,Female,1,2.29499,3.506279307236837,0.95827,4.5172536658745965,Unknown,INFP
33.0,Male,1,9.6139,6.563103192854161,3.92948,5.633169750112044,Arts,ESFP
24.0,Female,0,1.25192,6.45322082168308,4.39267,7.6172979214409855,Unknown,ISFJ
36.0,Female,0,1.53097,6.934362996615924,7.11672,7.514968978383039,Arts,ISTJ
30.0,Female,0,1.09246,4.415154054910051,7.1463,4.462350090857182,Unknown,INTP
27.0,Male,0,2.60443,6.675293808618468,6.95374,6.948383037226041,Unknown,ISTJ
26.0,Female,0,1.27517,6.711013856624196,6.64185,5.44603604658247,Sports,ISTJ
24.0,Female,0,9.31758,5.790130605565121,1.71303,7.733544084822145,Unknown,ENFJ
23.0,Female,0,7.38826,5.5941262866234505,7.03692,6.244631409606116,Others,ENTJ
28.0,Male,0,8.82022,6.969130024469363,5.08572,6.239199113854833,Arts,ESFJ
20.0,Male,0,2.20473,5.949788055034511,0.96824,2.489237409180615,Unknown,INFP
25.0,Male,0,2.96877,3.601481318408548,4.50395,6.2073020140063395,Others,INFJ
30.0,Male,0,4.06474,6.587303382180572,4.11685,6.356337122190664,Sports,ISFJ
28.0,Female,0,3.78911,6.268452356606171,8.56358,6.4165570081214085,Unknown,ESTJ
30.0,Female,0,6.56055,6.696228733370344,7.31793,6.180642542751019,Others,ESTJ
28.0,Male,1,0.45432,6.528185514380705,5.47674,1.024865076312473,Unknown,ISFP
31.0,Female,0,3.81903,7.08024903017653,6.90421,4.6517770745384635,Sports,ISTP
25.0,Female,1,6.09143,6.45068745926479,6.84808,2.9309251320463368,Arts,ESTP
19.0,Female,1,3.6298,5.520257393504924,4.2138,2.2633022906064335,Unknown,INFP
30.0,Male,1,1.86319,5.5842557688916825,4.1006,3.147422022269666,Unknown,INFP
31.0,Female,1,7.48634,6.2458051198740865,4.38689,3.7255857646592054,Arts,ESFP
25.0,Male,1,9.81987,3.9560189205328555,9.73523,5.984395259356994,Sports,ENTP
20.0,Male,0,4.06452,4.621016458730292,9.3449,5.061117065730512,Sports,INTJ
27.0,Male,0,0.25993,7.043832741881909,0.66792,6.21029566108042,Technology,ISFJ
23.0,Male,0,1.50823,4.690150041832851,9.7353,6.69265022753735,Unknown,INTJ
23.0,Female,0,1.94294,7.3781165608565065,3.11541,6.698401734229198,Sports,ISFJ
30.0,Male,0,1.09213,6.1767065000670005,5.62144,5.65224160807449,Sports,ISFJ
23.0,Female,1,7.85474,5.717438478336134,9.37596,5.998331842906961,Others,ENTP
33.0,Male,1,6.97325,6.252388139745642,5.01292,5.960679718875393,Others,ESFP
21.0,Female,0,9.6585,4.321549245258792,6.00857,4.2924230991128445,Unknown,ENTP
25.0,Female,0,1.66461,6.804563056442383,4.18947,7.001945768541708,Arts,ISFJ
21.0,Female,0,2.4255,4.7050556461029664,7.98807,6.7568502105353865,Unknown,INTJ
26.0,Male,0,8.1469,5.601478214026893,0.64738,7.990533994416367,Others,ENFJ
30.0,Male,0,6.66866,5.162908842012744,9.52323,6.377136449188654,Technology,ENTJ
23.0,Male,0,8.37436,6.367173375946729,6.09573,2.810223682602601,Sports,ESFP
